Name,Division,Records
Giga Chikadze,Featherweight Division,14-3-0 (W-L-D)
Khamzat Chimaev,Welterweight Division,12-0-0 (W-L-D)
Sako Chivitchian,Lightweight Division,5-1-0 (W-L-D)
Seungwoo Choi,Featherweight Division,10-6-0 (W-L-D)
SeungGuk Choi,Flyweight Division,6-2-0 (W-L-D)
Dooho Choi,Featherweight Division,14-4-1 (W-L-D)
John Cholish,Lightweight Division,8-3-0 (W-L-D)
Ryo Chonan,Welterweight Division,15-10-0 (W-L-D)
Katlyn Chookagian,Women's Flyweight Division,18-5-0 (W-L-D)
Will Chope,Featherweight Division,19-6-0 (W-L-D)
Joachim Christensen,Light Heavyweight Division,14-6-0 (W-L-D)
Dan Christison,Heavyweight Division,8-5-0 (W-L-D)
Anthony Christodoulou,Lightweight Division,12-6-0 (W-L-D)
Yui Chul Nam,Featherweight Division,18-6-1 (W-L-D)
Cameron Church,Lightweight Division,0-1-0 (W-L-D)
Mike Ciesnolevicz,Light Heavyweight Division,18-4-1 (W-L-D)
Hannah Cifers,Women's Strawweight Division,10-7-0 (W-L-D)
Misha Cirkunov,Light Heavyweight Division,15-9-0 (W-L-D)
Logan Clark,Middleweight Division,9-0-0 (W-L-D)
Laverne Clark,Welterweight Division,0-0-0 (W-L-D)
Jessica-Rose Clark,Women's Bantamweight Division,11-8-0 (W-L-D)
Heather Jo Clark,Women's Strawweight Division,7-6-0 (W-L-D)
Devin Clark,Light Heavyweight Division,14-7-0 (W-L-D)
Mitch Clarke,Lightweight Division,11-5-0 (W-L-D)
Rich Clementi,Lightweight Division,40-14-1 (W-L-D)
Chris Clements,Welterweight Division,12-5-0 (W-L-D)
Mark Climaco,Flyweight Division,0-0-0 (W-L-D)
Josh Clopton,Featherweight Division,6-2-1 (W-L-D)
Brian Cobb,Lightweight Division,15-5-0 (W-L-D)
John Cofer,Lightweight Division,7-4-0 (W-L-D)
Felipe Colares,Featherweight Division,10-4-0 (W-L-D)
Mark Coleman,Light Heavyweight Division,16-10-0 (W-L-D)
Clay Collard,Featherweight Division,14-7-0 (W-L-D)
Jamie Colleen,Women's Strawweight Division,4-2-0 (W-L-D)
Jake Collier,Heavyweight Division,13-8-0 (W-L-D)
Christian Colombo,Heavyweight Division,8-3-1 (W-L-D)
Wes Combs,Light Heavyweight Division,12-2-0 (W-L-D)
Carlos Condit,Welterweight Division,32-14-0 (W-L-D)
Chris Condo,Heavyweight Division,0-0-0 (W-L-D)
Tristan Connelly,Featherweight Division,14-8-0 (W-L-D)
Marcos Conrado Junior,Heavyweight Division,0-0-0 (W-L-D)
Bob Cook,Lightweight Division,0-0-0 (W-L-D)
Amanda Cooper,Women's Strawweight Division,4-5-0 (W-L-D)
Kit Cope,Welterweight Division,0-0-0 (W-L-D)
Chris Cope,Welterweight Division,5-4-0 (W-L-D)
Josh Copeland,Heavyweight Division,9-2-0 (W-L-D)
Michael Cora,Welterweight Division,4-2-0 (W-L-D)
Akira Corassani,Featherweight Division,14-7-1 (W-L-D)
Cory Corbin,N/A,N/A
Daniel Cormier,Heavyweight Division,22-3-0 (W-L-D)
Bethe Correia,Women's Bantamweight Division,11-6-1 (W-L-D)
Wesley Correira,Heavyweight Division,14-8-0 (W-L-D)
Waldo Cortes Acosta,Heavyweight Division,9-0-0 (W-L-D)
Tracy Cortez,Women's Flyweight Division,10-1-0 (W-L-D)
Reyes Cortez,Bantamweight Division,0-1-0 (W-L-D)
Orion Cosce,Welterweight Division,8-1-0 (W-L-D)
Louis Cosce,Welterweight Division,7-2-0 (W-L-D)
Randy Costa,Bantamweight Division,6-4-0 (W-L-D)
Melquizael Costa,Lightweight Division,19-6-0 (W-L-D)
Paulo Costa,Middleweight Division,14-2-0 (W-L-D)
Alessandro Costa,Flyweight Division,12-3-0 (W-L-D)
Oscar Cota,Heavyweight Division,10-2-0 (W-L-D)
Patrick Cote,Welterweight Division,24-11-0 (W-L-D)
J.C. Cottrell,Lightweight Division,17-5-0 (W-L-D)
JR Coughran,Featherweight Division,4-1-0 (W-L-D)
Rashad Coulter,Light Heavyweight Division,9-4-0 (W-L-D)
Randy Couture,Light Heavyweight Division,19-11-0 (W-L-D)
Ryan Couture,Lightweight Division,6-3-0 (W-L-D)
Colby Covington,Welterweight Division,17-3-0 (W-L-D)
Hailey Cowan,Women's Bantamweight Division,7-2-0 (W-L-D)
Cody Cox,N/A,N/A
Jeff Cox,Lightweight Division,14-5-0 (W-L-D)
Nathan Coy,Welterweight Division,15-7-0 (W-L-D)
Andrew Craig,Middleweight Division,9-4-0 (W-L-D)
Paul Craig,Light Heavyweight Division,16-6-1 (W-L-D)
Dan Cramer,Welterweight Division,1-1-0 (W-L-D)
Alberto Crane,Lightweight Division,8-2-0 (W-L-D)
Tim Credeur,Middleweight Division,13-6-0 (W-L-D)
Paul Creighton,Lightweight Division,5-1-0 (W-L-D)
Duane Crespo,N/A,N/A
Mirko Cro Cop,Heavyweight Division,31-11-2 (W-L-D)
Edilberto Crocota,Welterweight Division,10-1-1 (W-L-D)
Kevin Croom,Bantamweight Division,21-15-0 (W-L-D)
Kenneth Cross,Lightweight Division,11-3-0 (W-L-D)
Allen Crowder,Heavyweight Division,10-4-0 (W-L-D)
Daron Cruickshank,Lightweight Division,16-8-0 (W-L-D)
Richard Crunkilton Jr.,Lightweight Division,18-3-0 (W-L-D)
Jimmy Crute,Light Heavyweight Division,12-3-1 (W-L-D)
Aalon Cruz,Lightweight Division,8-4-0 (W-L-D)
Dominick Cruz,Bantamweight Division,24-4-0 (W-L-D)
Marcio Cruz,Heavyweight Division,2-2-0 (W-L-D)
Jay Cucciniello,Featherweight Division,9-1-0 (W-L-D)
Emilio Cuellar,Flyweight Division,0-0-0 (W-L-D)
Josh Culibao,Featherweight Division,11-1-1 (W-L-D)
Zak Cummings,Light Heavyweight Division,25-7-0 (W-L-D)
Patrick Cummins,Light Heavyweight Division,10-7-0 (W-L-D)
Luke Cummo,Welterweight Division,9-6-0 (W-L-D)
Hugo Cunha,Heavyweight Division,0-0-0 (W-L-D)
Alton Cunningham,Light Heavyweight Division,7-2-0 (W-L-D)
Santo Curatolo,Flyweight Division,0-1-0 (W-L-D)
Larry Cureton,,0-0-0 (W-L-D)
Jeff Curran,Bantamweight Division,35-15-1 (W-L-D)
Kailin Curran,Women's Strawweight Division,4-6-0 (W-L-D)
Chris Curtis,Middleweight Division,30-10-0 (W-L-D)
Ion Cutelaba,Light Heavyweight Division,17-9-1 (W-L-D)
Gleidson Cutis,Lightweight Division,0-0-0 (W-L-D)
Cris Cyborg,Women's Featherweight Division,21-2-0 (W-L-D)
Diego Henrique da Silva,Middleweight Division,0-0-0 (W-L-D)
Alex da Silva,Lightweight Division,21-4-0 (W-L-D)
Henrique da Silva,Light Heavyweight Division,12-4-0 (W-L-D)
Henrique Da Silva Lopes,Heavyweight Division,0-0-0 (W-L-D)
Dayana da Silva Santos,Women's Bantamweight Division,0-0-0 (W-L-D)
Marcus Da Silviera,Heavyweight Division,0-0-0 (W-L-D)
Nicolas Dalby,Welterweight Division,21-4-1 (W-L-D)
Paul Daley,Welterweight Division,29-12-2 (W-L-D)
Aisling Daly,Women's Strawweight Division,16-5-0 (W-L-D)
Leonardo Damiani,Welterweight Division,0-1-0 (W-L-D)
Rodrigo Damm,Lightweight Division,12-9-0 (W-L-D)
Batgerel Danaa,Bantamweight Division,12-5-0 (W-L-D)
Cindy Dandois,Women's Bantamweight Division,8-3-0 (W-L-D)
Peter Danesoe,N/A,N/A
Jarjis Danho,Heavyweight Division,7-1-1 (W-L-D)
Alexandre Dantas,Heavyweight Division,3-2-0 (W-L-D)
Mac Danzig,Lightweight Division,22-12-1 (W-L-D)
Beneil Dariush,Lightweight Division,22-4-1 (W-L-D)
Sean Daughtery,,0-0-0 (W-L-D)
Chris Daukaus,Heavyweight Division,12-6-0 (W-L-D)
Kyle Daukaus,Middleweight Division,11-4-0 (W-L-D)
John Davis,N/A,N/A
Marcus Davis,Lightweight Division,22-9-0 (W-L-D)
Alexis Davis,Women's Bantamweight Division,21-11-0 (W-L-D)
Phil Davis,Light Heavyweight Division,13-3-0 (W-L-D)
Rick Davis,Lightweight Division,3-1-1 (W-L-D)
Brandon Davis,Bantamweight Division,14-10-0 (W-L-D)
Mike Davis,Lightweight Division,10-2-0 (W-L-D)
Hakeem Dawodu,Featherweight Division,13-3-1 (W-L-D)
Grant Dawson,Lightweight Division,19-1-1 (W-L-D)
Jason Day,Middleweight Division,17-7-0 (W-L-D)
Martin Day,Featherweight Division,8-6-0 (W-L-D)
Angel De Anda,Light Heavyweight Division,18-6-0 (W-L-D)
Yorgan De Castro,Heavyweight Division,6-3-0 (W-L-D)
Rafael de Freitas,Flyweight Division,0-0-0 (W-L-D)
Geraldo de Freitas Jr.,Bantamweight Division,12-6-0 (W-L-D)
Phil De Fries,Heavyweight Division,9-3-0 (W-L-D)
Chris De La Rocha,Heavyweight Division,5-3-0 (W-L-D)
Montana De La Rosa,Women's Flyweight Division,12-8-1 (W-L-D)
Mark De La Rosa,Bantamweight Division,11-5-0 (W-L-D)
Mike De La Torre,Featherweight Division,14-7-0 (W-L-D)
Marcos Rogerio de Lima,Heavyweight Division,20-9-1 (W-L-D)
Rodrigo de Lima,Lightweight Division,8-3-1 (W-L-D)
Jorge de Oliveira,Welterweight Division,7-2-0 (W-L-D)
Leonardo De Oliveira,Middleweight Division,0-0-0 (W-L-D)
Isabela De Padua,Women's Flyweight Division,0-1-0 (W-L-D)
Gloria de Paula,Women's Strawweight Division,6-5-0 (W-L-D)
Germaine de Randamie,Women's Bantamweight Division,10-4-0 (W-L-D)
Carls John De Tomas,Flyweight Division,8-2-0 (W-L-D)
Carl Deaton,Lightweight Division,17-6-0 (W-L-D)
Tom DeBlass,Middleweight Division,7-2-0 (W-L-D)
Shane Del Rosario,Heavyweight Division,11-2-0 (W-L-D)
Wallen Del Rosario,Flyweight Division,0-1-0 (W-L-D)
Rolando Delgado,Lightweight Division,8-5-1 (W-L-D)
Ante Delija,Heavyweight Division,17-3-0 (W-L-D)
Jack Della Maddalena,Welterweight Division,14-2-0 (W-L-D)
Roland Delorme,Bantamweight Division,9-4-0 (W-L-D)
Jason DeLucia,Middleweight Division,2-2-0 (W-L-D)
Vanessa Demopoulos,Women's Strawweight Division,9-4-0 (W-L-D)
Chris Dempsey,Middleweight Division,11-4-0 (W-L-D)
Nick Denis,Bantamweight Division,11-3-0 (W-L-D)
Jason Dent,Lightweight Division,19-11-0 (W-L-D)
Mackenzie Dern,Women's Strawweight Division,12-3-0 (W-L-D)
Tony DeSouza,Welterweight Division,10-4-0 (W-L-D)
Edwin Dewees,Middleweight Division,34-10-0 (W-L-D)
Alessio Di Chirico,Middleweight Division,13-7-0 (W-L-D)
Micol Di Segni,Women's Strawweight Division,0-0-0 (W-L-D)
Cyrille Diabate,Light Heavyweight Division,20-10-3 (W-L-D)
Marc Diakiese,Lightweight Division,16-6-0 (W-L-D)
Tyler Diamond,Featherweight Division,9-2-0 (W-L-D)
Mike Diamond,Welterweight Division,3-2-0 (W-L-D)
Hacran Dias,Lightweight Division,23-6-1 (W-L-D)
Eldo Xavier Dias,,0-0-0 (W-L-D)
Nate Diaz,Welterweight Division,22-13-0 (W-L-D)
Nick Diaz,Middleweight Division,26-11-0 (W-L-D)
Adrian Diaz,Featherweight Division,11-5-1 (W-L-D)
Ozzy Diaz,Middleweight Division,0-1-0 (W-L-D)
Damien Dibbell,N/A,N/A
TJ Dillashaw,Bantamweight Division,18-5-0 (W-L-D)
Rico DiSciullo,Bantamweight Division,9-3-0 (W-L-D)
Matt Dixon,Welterweight Division,9-1-0 (W-L-D)
Russell Doane,Bantamweight Division,15-8-0 (W-L-D)
Drew Dober,Lightweight Division,26-11-0 (W-L-D)
Shana Dobson,Women's Flyweight Division,4-5-0 (W-L-D)
AJ Dobson,Middleweight Division,6-2-0 (W-L-D)
David Dodd,Middleweight Division,0-0-0 (W-L-D)
John Dodson,Bantamweight Division,22-12-0 (W-L-D)
Joe Doerksen,Middleweight Division,45-14-0 (W-L-D)
Roman Dolidze,Middleweight Division,12-2-0 (W-L-D)
Cameron Dollar,Lightweight Division,5-3-0 (W-L-D)
CB Dollaway,Middleweight Division,18-10-0 (W-L-D)
Cody Donovan,Light Heavyweight Division,8-5-0 (W-L-D)
Houston Dorr,Heavyweight Division,0-0-0 (W-L-D)
Rafael Dos Anjos,Welterweight Division,32-14-0 (W-L-D)
Anderson dos Santos,Bantamweight Division,21-9-0 (W-L-D)
Acacio dos Santos,Light Heavyweight Division,0-1-0 (W-L-D)
Geronimo dos Santos,Heavyweight Division,31-14-0 (W-L-D)
Junior Dos Santos,Heavyweight Division,21-9-0 (W-L-D)
Antonio dos Santos,Middleweight Division,6-3-0 (W-L-D)
Elizeu dos Santos,Welterweight Division,23-7-0 (W-L-D)
Maiara Amajanas Dos Santos,Women's Strawweight Division,0-0-0 (W-L-D)
Felipe dos Santos,N/A,N/A
Oleksandr Doskalchuk,Flyweight Division,10-2-0 (W-L-D)
Cedric Doumbe,Welterweight Division,0-0-0 (W-L-D)
John Dowdy,,0-0-0 (W-L-D)
Dan Downes,Lightweight Division,8-3-0 (W-L-D)
Derek Downey,Middleweight Division,10-4-0 (W-L-D)
Bryan Dozier,N/A,N/A
Wesley Drain,N/A,N/A
Kyle Driscoll,Featherweight Division,12-3-0 (W-L-D)
Tomasz Drwal,Middleweight Division,17-4-0 (W-L-D)
Robert Drysdale,Light Heavyweight Division,7-0-0 (W-L-D)
Dricus Du Plessis,Middleweight Division,19-2-0 (W-L-D)
Hugo Duarte,Heavyweight Division,0-0-0 (W-L-D)
Emily Ducote,Women's Strawweight Division,12-7-0 (W-L-D)
Viktoriia Dudakova,Women's Strawweight Division,6-0-0 (W-L-D)
Milana Dudieva,Women's Bantamweight Division,11-5-0 (W-L-D)
Todd Duffee,Heavyweight Division,9-3-0 (W-L-D)
Joe Duffy,Lightweight Division,16-5-0 (W-L-D)
Alexis Dufresne,Women's Bantamweight Division,5-2-0 (W-L-D)
Jessamyn Duke,Women's Bantamweight Division,3-3-0 (W-L-D)
Isaac Dulgarian,Featherweight Division,5-0-0 (W-L-D)
Kelly Dullanty,Lightweight Division,4-1-0 (W-L-D)
Sedriques Dumas,Middleweight Division,7-1-0 (W-L-D)
Norma Dumont,Women's Featherweight Division,9-2-0 (W-L-D)
Christian Leroy Duncan,Middleweight Division,8-0-0 (W-L-D)
Chris Duncan,Lightweight Division,10-1-0 (W-L-D)
Evan Dunham,Lightweight Division,18-8-1 (W-L-D)
Tom Duquesnoy,Bantamweight Division,15-2-0 (W-L-D)
Albert Duraev,Middleweight Division,16-4-0 (W-L-D)
Reuben Duran,Bantamweight Division,8-5-1 (W-L-D)
Cody Durden,Flyweight Division,14-4-1 (W-L-D)
Luiz Dutra,Welterweight Division,11-4-1 (W-L-D)
Riley Dutro,Flyweight Division,14-4-0 (W-L-D)
Merab Dvalishvili,Bantamweight Division,16-4-0 (W-L-D)
David Dvorak,Flyweight Division,20-5-0 (W-L-D)
Matt Dwyer,Welterweight Division,8-4-0 (W-L-D)
Rolando Dy,Featherweight Division,9-6-1 (W-L-D)
Ben Earwood,Welterweight Division,0-0-0 (W-L-D)
Cody East,Heavyweight Division,12-3-0 (W-L-D)
Marvin Eastman,Middleweight Division,15-8-1 (W-L-D)
Mike Easton,Bantamweight Division,13-5-0 (W-L-D)
Brian Ebersole,Welterweight Division,51-17-1 (W-L-D)
Roybert Echeverria,Flyweight Division,0-1-0 (W-L-D)
Mark Eddiva,Featherweight Division,6-3-0 (W-L-D)
Frankie Edgar,Bantamweight Division,23-11-1 (W-L-D)
Abdul-Kerim Edilov,Light Heavyweight Division,16-4-0 (W-L-D)
Johnny Eduardo,Bantamweight Division,28-13-0 (W-L-D)
Te Edwards,Lightweight Division,6-3-0 (W-L-D)
Yves Edwards,Lightweight Division,42-22-1 (W-L-D)
Justin Edwards,Lightweight Division,9-5-0 (W-L-D)
Leon Edwards,Welterweight Division,21-3-0 (W-L-D)
Adli Edwards,Featherweight Division,0-0-0 (W-L-D)
Joselyne Edwards,Women's Bantamweight Division,13-4-0 (W-L-D)
Tom Egan,Welterweight Division,4-1-0 (W-L-D)
Stephanie Egger,Women's Featherweight Division,8-3-0 (W-L-D)
Justin Eilers,Heavyweight Division,9-5-1 (W-L-D)
John-Olav Einemo,Heavyweight Division,6-3-0 (W-L-D)
Per Eklund,Lightweight Division,15-4-1 (W-L-D)
Evan Elder,Lightweight Division,7-2-0 (W-L-D)
Joao Elias,Flyweight Division,0-1-0 (W-L-D)
Darren Elkins,Featherweight Division,27-11-0 (W-L-D)
Joe Ellenberger,Lightweight Division,15-2-0 (W-L-D)
Jake Ellenberger,Welterweight Division,31-15-0 (W-L-D)
Tim Elliott,Flyweight Division,19-12-1 (W-L-D)
Lisa Ellis,Women's Strawweight Division,15-9-0 (W-L-D)
Anna Elmose,Women's Strawweight Division,3-2-0 (W-L-D)
Cameron Else,Bantamweight Division,10-6-0 (W-L-D)
Sovannahry Em,Women's Bantamweight Division,0-0-0 (W-L-D)
Ramazan Emeev,Welterweight Division,20-6-0 (W-L-D)
Rob Emerson,Lightweight Division,11-9-0 (W-L-D)
Freddy Emiliano Linares,Featherweight Division,0-1-0 (W-L-D)
Jamall Emmers,Featherweight Division,19-6-0 (W-L-D)
Josh Emmett,Featherweight Division,18-3-0 (W-L-D)
Kolton Englund,Lightweight Division,0-1-0 (W-L-D)
Oliver Enkamp,Welterweight Division,7-1-0 (W-L-D)
Alex Enlund,Featherweight Division,14-2-0 (W-L-D)
Ian Entwistle,Bantamweight Division,9-3-0 (W-L-D)
Andy Enz,Middleweight Division,8-3-0 (W-L-D)
Stephen Erceg,Flyweight Division,0-0-0 (W-L-D)
Konstantin Erokhin,Heavyweight Division,9-3-0 (W-L-D)
Julian Erosa,Featherweight Division,28-11-0 (W-L-D)
Jarno Errens,Featherweight Division,13-4-1 (W-L-D)
Cole Escovedo,Bantamweight Division,17-9-0 (W-L-D)
Efrain Escudero,Lightweight Division,25-11-0 (W-L-D)
Carla Esparza,Women's Strawweight Division,20-7-0 (W-L-D)
Juan Espino,Heavyweight Division,11-2-0 (W-L-D)
Jordan Espinosa,Flyweight Division,15-9-0 (W-L-D)
Jodie Esquibel,Women's Strawweight Division,6-6-0 (W-L-D)
Rafael Estevam,Flyweight Division,1-0-0 (W-L-D)
Achilles Estremadura,Lightweight Division,0-1-0 (W-L-D)
Shaun Etchell,Flyweight Division,0-1-0 (W-L-D)
Terry Etim,Lightweight Division,15-5-0 (W-L-D)
Fred Ettish,,0-0-0 (W-L-D)
Sijara Eubanks,Women's Flyweight Division,8-7-0 (W-L-D)
Rashad Evans,Light Heavyweight Division,24-8-1 (W-L-D)
Doug Evans,Lightweight Division,6-2-0 (W-L-D)
Ashlee Evans-Smith,Women's Bantamweight Division,6-5-0 (W-L-D)
Dan Evensen,Heavyweight Division,10-4-0 (W-L-D)
Tonya Evinger,Women's Featherweight Division,19-8-0 (W-L-D)
Movsar Evloev,Featherweight Division,16-0-0 (W-L-D)
Andre Ewell,Featherweight Division,17-9-0 (W-L-D)
Jessica Eye,Women's Flyweight Division,15-11-0 (W-L-D)
Edward Faaloloto,Lightweight Division,5-3-0 (W-L-D)
Urijah Faber,Bantamweight Division,35-11-0 (W-L-D)
Melinda Fábián,Women's Flyweight Division,4-3-2 (W-L-D)
Wagnney Fabiano,Featherweight Division,14-2-0 (W-L-D)
Bartosz Fabinski,Middleweight Division,15-5-0 (W-L-D)
Ron Faircloth,Light Heavyweight Division,0-0-0 (W-L-D)
Zarah Fairn,Women's Featherweight Division,6-5-0 (W-L-D)
Jason Fairn,,0-0-0 (W-L-D)
Rinat Fakhretdinov,Welterweight Division,20-1-0 (W-L-D)
Maiquel Falcao,Middleweight Division,26-3-0 (W-L-D)
Pedro Falcao,Bantamweight Division,1-0-0 (W-L-D)
Brodie Farber,Welterweight Division,13-5-0 (W-L-D)
Kalindra Faria,Women's Flyweight Division,18-8-1 (W-L-D)
Rico Farrington,Welterweight Division,0-0-0 (W-L-D)
Kelly Faszholz,Women's Bantamweight Division,3-2-0 (W-L-D)
Paul Felder,Lightweight Division,17-6-0 (W-L-D)
Carlos Felipe,Heavyweight Division,11-2-0 (W-L-D)
Josh Ferguson,Flyweight Division,7-5-0 (W-L-D)
Tony Ferguson,Welterweight Division,26-8-0 (W-L-D)
CJ Fernandes,Welterweight Division,0-0-0 (W-L-D)
Bibiano Fernandes,Bantamweight Division,0-0-0 (W-L-D)
Gabriella Fernandes,Women's Flyweight Division,8-2-0 (W-L-D)
Brunno Ferreira,Middleweight Division,10-0-0 (W-L-D)
Cezar Ferreira,Middleweight Division,14-8-0 (W-L-D)
Alexandre Ferreira,Light Heavyweight Division,18-7-0 (W-L-D)
Diego Ferreira,Lightweight Division,17-5-0 (W-L-D)
Erisson Ferreira,Flyweight Division,1-1-0 (W-L-D)
Scott Ferrozzo,Heavyweight Division,0-0-0 (W-L-D)
Timo Feucht,Light Heavyweight Division,0-0-0 (W-L-D)
Andre Fialho,Welterweight Division,16-6-0 (W-L-D)
Drew Fickett,Welterweight Division,31-5-0 (W-L-D)
Scott Fielder,,0-0-0 (W-L-D)
Andrew Fields,N/A,N/A
Test Fighter2,N/A,N/A
Michal Figlak,Lightweight Division,8-1-0 (W-L-D)
Deiveson Figueiredo,Flyweight Division,21-3-1 (W-L-D)
Francisco Figueiredo,Flyweight Division,13-5-1 (W-L-D)
Edwin Figueroa,Bantamweight Division,9-4-0 (W-L-D)
Jafel Filho,Flyweight Division,14-3-0 (W-L-D)
Andre Fili,Featherweight Division,22-9-0 (W-L-D)
Luigi Fioravanti,Welterweight Division,13-5-0 (W-L-D)
Nick Fiore,Lightweight Division,6-1-0 (W-L-D)
Manon Fiorot,Women's Flyweight Division,10-1-0 (W-L-D)
Spencer Fisher,Lightweight Division,25-9-0 (W-L-D)
Chris Fishgold,Featherweight Division,18-4-1 (W-L-D)
Jon Fitch,Welterweight Division,27-5-1 (W-L-D)
Isi Fitikefu,Light Heavyweight Division,0-0-0 (W-L-D)
Rafael Fiziev,Lightweight Division,12-2-0 (W-L-D)
Colin Fletcher,Lightweight Division,9-3-0 (W-L-D)
AJ Fletcher,Welterweight Division,10-2-0 (W-L-D)
Jimmy Flick,Flyweight Division,16-6-0 (W-L-D)
Luke Flores,Lightweight Division,7-2-0 (W-L-D)
Alejandro Flores,Featherweight Division,0-1-0 (W-L-D)
Ty Flores,Light Heavyweight Division,0-1-0 (W-L-D)
Kenny Florian,Featherweight Division,16-6-0 (W-L-D)
Darrius Flowers,Welterweight Division,12-5-1 (W-L-D)
Caros Fodor,Lightweight Division,7-3-0 (W-L-D)
Rob Font,Bantamweight Division,20-6-0 (W-L-D)
Jesse Forbes,Middleweight Division,13-6-0 (W-L-D)
Jussier Formiga,Flyweight Division,23-8-0 (W-L-D)
Brianna Fortino,Women's Strawweight Division,9-3-0 (W-L-D)
Marcel Fortuna,Light Heavyweight Division,9-3-0 (W-L-D)
Brian Foster,Welterweight Division,17-5-0 (W-L-D)
Xavier Foupa-Pokam,Middleweight Division,20-11-0 (W-L-D)
Hermes Franca,Lightweight Division,20-8-0 (W-L-D)
Glaico Franca,Lightweight Division,14-5-0 (W-L-D)
Kai Kara-France,Flyweight Division,24-10-0 (W-L-D)
Rich Franklin,Middleweight Division,29-7-0 (W-L-D)
Stephanie Frausto,Women's Strawweight Division,0-1-0 (W-L-D)
Justin Frazier,Heavyweight Division,0-1-0 (W-L-D)
Zane Frazier,Heavyweight Division,0-2-0 (W-L-D)
Ian Freeman,Heavyweight Division,14-6-1 (W-L-D)
Willamy Freire,Lightweight Division,17-4-0 (W-L-D)
Donavon Frelow,Bantamweight Division,6-3-0 (W-L-D)
Josh Fremd,Middleweight Division,10-4-0 (W-L-D)
Matt Frevola,Lightweight Division,10-3-1 (W-L-D)
Jinh Yu Frey,Women's Strawweight Division,11-8-0 (W-L-D)
Artem Frolov,Middleweight Division,0-0-0 (W-L-D)
Waylon Frost,N/A,N/A
Sarah Frota,Women's Flyweight Division,9-2-0 (W-L-D)
Don Frye,Heavyweight Division,11-1-0 (W-L-D)
Anthony Fryklund,Middleweight Division,11-4-0 (W-L-D)
Adam Fugitt,Welterweight Division,9-3-0 (W-L-D)
Katsuhisa Fuji,,0-0-0 (W-L-D)
Riki Fukuda,Middleweight Division,19-7-0 (W-L-D)
Masio Fullen,Featherweight Division,10-6-0 (W-L-D)
Sam Fulton,Heavyweight Division,0-0-0 (W-L-D)
Travis Fulton,Heavyweight Division,0-0-0 (W-L-D)
Ricardo Funch,Welterweight Division,8-4-0 (W-L-D)
Gustavo Gabriel,Flyweight Division,0-0-0 (W-L-D)
Claudia Gadelha,Women's Strawweight Division,18-5-0 (W-L-D)
Justin Gaethje,Lightweight Division,25-4-0 (W-L-D)
Sheila Gaff,Women's Bantamweight Division,10-6-1 (W-L-D)
Mitch Gagnon,Bantamweight Division,12-5-0 (W-L-D)
Dave Galera,Bantamweight Division,5-1-0 (W-L-D)
Mickey Gall,Welterweight Division,7-5-0 (W-L-D)
Daniel Gallemore,Heavyweight Division,0-0-0 (W-L-D)
Tom Gallicchio,Welterweight Division,19-11-0 (W-L-D)
Joey Gambino,Featherweight Division,9-2-0 (W-L-D)
Manny Gamburyan,Bantamweight Division,18-11-0 (W-L-D)
Mateusz Gamrot,Lightweight Division,22-2-0 (W-L-D)
Shamil Gamzatov,Light Heavyweight Division,14-1-0 (W-L-D)
Ariel Gandulla,Middleweight Division,4-0-1 (W-L-D)
Ciryl Gane,Heavyweight Division,11-2-0 (W-L-D)
Sean Gannon,Heavyweight Division,1-1-0 (W-L-D)
Luiz Garagorri,Featherweight Division,13-2-0 (W-L-D)
Cody Garbrandt,Bantamweight Division,13-5-0 (W-L-D)
Alex Garcia,Welterweight Division,15-5-0 (W-L-D)
Leonard Garcia,Featherweight Division,19-11-1 (W-L-D)
Edgar Garcia,Welterweight Division,14-5-0 (W-L-D)
Elias Garcia,Flyweight Division,6-2-0 (W-L-D)
Fernie Garcia,Bantamweight Division,10-3-0 (W-L-D)
Steve Garcia,Featherweight Division,14-5-0 (W-L-D)
Rafa Garcia,Lightweight Division,16-3-0 (W-L-D)
Pablo Garza,Featherweight Division,13-4-0 (W-L-D)
Azamat Gashimov,Flyweight Division,10-3-0 (W-L-D)
Jesus Gaspar Diaz,N/A,N/A
Brian Gassaway,Welterweight Division,24-17-3 (W-L-D)
Kelvin Gastelum,Middleweight Division,18-8-0 (W-L-D)
Willie Gates,Flyweight Division,12-7-0 (W-L-D)
Melissa Gatto,Women's Flyweight Division,8-1-2 (W-L-D)
Louis Gaudinot,Flyweight Division,6-4-0 (W-L-D)
Manuel Gaxhja,Lightweight Division,0-0-0 (W-L-D)
Paul Georgieff,Welterweight Division,7-2-0 (W-L-D)
Brian Geraghty,Lightweight Division,24-9-2 (W-L-D)
Karine Gevorgyan,Women's Flyweight Division,3-3-0 (W-L-D)
Darrel Gholar,Middleweight Division,0-0-0 (W-L-D)
Tiki Ghosn,Welterweight Division,8-5-0 (W-L-D)
Christos Giagos,Lightweight Division,20-10-0 (W-L-D)
Joe Giannetti,Lightweight Division,7-1-0 (W-L-D)
James Giboo,Welterweight Division,11-3-0 (W-L-D)
Lance Gibson,Middleweight Division,0-0-0 (W-L-D)
Cody Gibson,Bantamweight Division,12-6-0 (W-L-D)
Chase Gibson,Lightweight Division,0-1-0 (W-L-D)
Thomas Gifford,Lightweight Division,17-9-0 (W-L-D)
Sergio Giglio,N/A,N/A
Joe Gigliotti,Middleweight Division,7-2-0 (W-L-D)
Joey Gilbert,Lightweight Division,0-0-0 (W-L-D)
