Name,Division,Records
Jessica Andrade,Women's Flyweight Division,24-10-0 (W-L-D)
Viscardi Andrade,Welterweight Division,19-7-0 (W-L-D)
Jermaine Andre,Middleweight Division,0-0-0 (W-L-D)
Juan Andres Luna,Flyweight Division,0-1-0 (W-L-D)
Dylan Andrews,Middleweight Division,18-7-0 (W-L-D)
Reese Andy,Light Heavyweight Division,7-3-0 (W-L-D)
Julius Anglickas,Light Heavyweight Division,0-0-0 (W-L-D)
Collin Anglin,Featherweight Division,8-3-0 (W-L-D)
Chad Anheliger,Bantamweight Division,12-6-0 (W-L-D)
Yoji Anjo,Middleweight Division,0-0-0 (W-L-D)
Magomed Ankalaev,Light Heavyweight Division,18-1-1 (W-L-D)
Nina Nunes,Women's Flyweight Division,11-7-0 (W-L-D)
Gadzhimurad Antigulov,Light Heavyweight Division,20-8-0 (W-L-D)
Adam Antolin,Flyweight Division,13-3-0 (W-L-D)
Zu Anyanwu,Heavyweight Division,14-5-0 (W-L-D)
Wang Anying,Welterweight Division,2-2-0 (W-L-D)
Shinsho Anzai,Welterweight Division,10-2-0 (W-L-D)
Aoriqileng,Bantamweight Division,24-9-0 (W-L-D)
Josh Appelt,Heavyweight Division,15-7-0 (W-L-D)
Travis Aragon,N/A,N/A
Romie Aram,Welterweight Division,6-0-0 (W-L-D)
Felipe Arantes,Bantamweight Division,18-9-1 (W-L-D)
Viviane Araújo,Women's Flyweight Division,11-5-0 (W-L-D)
Igor Araujo,Welterweight Division,25-8-0 (W-L-D)
Julio Arce,Bantamweight Division,18-6-0 (W-L-D)
Carrese Archer,N/A,N/A
Dan Argueta,Featherweight Division,9-1-0 (W-L-D)
Reza Arianto,N/A,N/A
Hashem Arkhagha,Middleweight Division,0-1-0 (W-L-D)
Andrei Arlovski,Heavyweight Division,34-21-0 (W-L-D)
Garrett Armfield,Bantamweight Division,8-3-0 (W-L-D)
Austin Arnett,Featherweight Division,16-6-0 (W-L-D)
Eli Aronov,N/A,N/A
Akbarh Arreola,Lightweight Division,23-9-1 (W-L-D)
Antonio Arroyo,Middleweight Division,9-5-0 (W-L-D)
Matt Arroyo,Welterweight Division,3-3-0 (W-L-D)
Cesar Arzamendia,Lightweight Division,7-4-0 (W-L-D)
Alex Asbury,N/A,N/A
Teddy Ash,Middleweight Division,0-0-0 (W-L-D)
Arman Ashimov,Flyweight Division,0-0-0 (W-L-D)
Yanal Ashmouz,Lightweight Division,7-0-0 (W-L-D)
Askar Askar,Featherweight Division,11-1-0 (W-L-D)
Askar Askarov,Flyweight Division,14-1-1 (W-L-D)
Cyril Asker,Heavyweight Division,9-4-0 (W-L-D)
Khusein Askhabov,Featherweight Division,23-1-0 (W-L-D)
Scott Askham,Middleweight Division,14-4-0 (W-L-D)
Ben Askren,Welterweight Division,19-2-0 (W-L-D)
Ibo Aslan,Light Heavyweight Division,0-0-0 (W-L-D)
Tom Aspinall,Heavyweight Division,12-3-0 (W-L-D)
Bruno Assis,Middleweight Division,0-0-0 (W-L-D)
Raphael Assunção,Bantamweight Division,28-10-0 (W-L-D)
Junior Assuncao,Featherweight Division,14-5-0 (W-L-D)
Rich Attonito,Welterweight Division,10-5-0 (W-L-D)
Olivier Aubin-Mercier,Lightweight Division,12-5-0 (W-L-D)
Pat Audinwood,Lightweight Division,9-2-1 (W-L-D)
Jose Augusto,Light Heavyweight Division,0-0-0 (W-L-D)
Leonardo Augusto Leleco,Middleweight Division,11-3-0 (W-L-D)
Marcus Aurelio,Lightweight Division,18-8-0 (W-L-D)
Julia Avila,Women's Bantamweight Division,9-2-0 (W-L-D)
Chris Avila,Featherweight Division,5-4-0 (W-L-D)
Jessin Ayari,Lightweight Division,16-6-0 (W-L-D)
Ottman Azaitar,Lightweight Division,13-1-0 (W-L-D)
Abu Azaitar,Middleweight Division,14-3-1 (W-L-D)
Hunter Azure,Bantamweight Division,9-2-0 (W-L-D)
Niklas Backstrom,Featherweight Division,8-2-0 (W-L-D)
Seth Baczynski,Welterweight Division,18-11-0 (W-L-D)
Abdul Azeem Badakhshi,N/A,N/A
Ryan Bader,Light Heavyweight Division,22-5-0 (W-L-D)
Izabela Badurek,Women's Strawweight Division,5-3-0 (W-L-D)
Miguel Baeza,Welterweight Division,10-3-0 (W-L-D)
Ali Bagautinov,Flyweight Division,14-5-0 (W-L-D)
Mehdi Baghdad,Lightweight Division,11-4-0 (W-L-D)
Melsik Baghdasaryan,Featherweight Division,7-2-0 (W-L-D)
Siyar Bahadurzada,Welterweight Division,24-8-1 (W-L-D)
Ignacio Bahamondes,Lightweight Division,14-4-0 (W-L-D)
Shamar Bailey,Lightweight Division,12-5-0 (W-L-D)
Scott Baker,,0-0-0 (W-L-D)
Oluwale Bamgbose,Middleweight Division,6-4-0 (W-L-D)
Marcin Bandel,Lightweight Division,13-4-0 (W-L-D)
Humberto Bandenay,Featherweight Division,14-7-0 (W-L-D)
Tae Hyun Bang,Lightweight Division,18-10-0 (W-L-D)
Antonio Banuelos,Bantamweight Division,19-7-0 (W-L-D)
Renan Barao,Bantamweight Division,36-9-0 (W-L-D)
Maycee Barber,Women's Flyweight Division,12-2-0 (W-L-D)
Bryan Barberena,Welterweight Division,18-10-0 (W-L-D)
Edson Barboza,Featherweight Division,23-11-0 (W-L-D)
